field_identifier,name,field_alternate_name,field_name_arabic,field_alternate_name_arabic,field_cat_date_begin,field_cat_date_end,field_biography,field_affiliated_country,field_occupation,field_affiliated_language,field_facebook_id,field_facebook_title,field_twitter_id,field_twitter_title,field_instagram_id,field_instagram_title,field_youtube_channel_id,field_youtube_channel_id_title
000a285,Trish Salah,,تريش صلاح,,,,"Trish Salah is a poet, critic, scholar and activist born and raised in Halifax Nova Scotia and is also of Lebaneese and Irish descent. Salah completed her Ph.D in English Literature at York University in Toronto, Ontario and currently teaches Gender Studies at Queen’s University. <br><b>Awards</b><br>Lambda Literary Award for Best Transgender Fiction, 2014",Canada,Poet|Critic|Scholar|Activist,English,,,https://twitter.com/anasemia,twitter,https://instagram.com/anasemiasays,instagram,,
000a286,Noor Naga,,نور نجا,نور نجى,,,"Noor Naga is a poet and novelist born in Philadelphia, raised in Dubai, and currently lives in Alexandria.Naga earned her Bachelors and Master's degrees from the University of Toronto with a focus on Creative Writing, English Literature and religion. Her works have been featured in many media outlets such as Granta, The Walrus, among others. <br><b>Awards</b><br>Bronwen Wallace Award, 2017; Graywolf Press Africa Prize, 2019;  RBC/PEN Canada Award, 2019; Pat Lowther Memorial Award, 2021",Canada|Egypt|America,Poet|Novelist,English|Arabic,,facebook,https://twitter.com/noor_naga,twitter,,instagram,,
000a287,Hajer Mirwali,,هاجر مروالي,,,,"Hajer Mirwali is a poet, essayist, short story writer and film writer of Palestinian and Iraqi decent currently based in Canada.She earned her Masters of Fine Arts from the Unviersity of Guelph. Mirwali’s work has been published and performed widely and has been featured in The Puritan, Joyland, Brick and Room Magazine. <br><b>Awards</b><br>Room Magazine's Short Forms Contest Winner, 2017",Iraq|Palestine|Canada,Poet|Essayist|Short Story Writer|film writer,English|Arabic,,,https://twitter.com/hajermirwali,twitter,,instagram,,
000a288,Nyla Matuk,,نائلة معتوق,,,,"Nyla Matuk is a poet and editor born in Canada and has Palestine, Afghan and Uzbek roots. Many of her works have been published widely in literary journals and magazines such as The NewYorker The Walrus among many others. Matuk earned her Master of Arts and served as a writer in Residence at Mcgill University.  <br><b>Awards</b><br>Lionel Shapiro Prize for Creative Writing, McGill University, 1990",Canada,Author|Poet|editor,English|Arabic,,,https://twitter.com/nylamatuk,twitter,https://instagram.com/nylamatuk,instagram,,
000a289,Lynda Thalie,,ليندا طليا,,,,"Lynda Thalie is an Algerian Canadian singer, songwriter and autobiography writer born in Oran, Algeria. Her family has resided in Quebec since 1994 after immigrating to Canada. She has released three musical albums and has also written an autobiography. <br><b>Awards</b><br>Prix du patrimoine d'expression, 2004; World Music Artist of the Year, 2009; Francophone Album of the Year, 2009 ",Algeria|Canada,Biography,French|Arabic|English,https://www.youtube.com/user/musicmaniman,facebook,https://twitter.com/LyndaThalie,twitter,https://instagram.com/lyndathalie,instagram,https://www.youtube.com/user/musicmaniman,youtube
000a290,Hanan Hazime,,حنان حزيم,,,,"Hanan Hazime is an artist, poet, activist and short story writer currently born in Toronto Canada with South Lebanon ancestors. She completed her Master degree at the University of Windsor in English Literature and Creative Writing.<br><b>Awards</b><br>",Canada|Lebanon,Poet|Short Story Writer|Artist|Activist,English,,facebook,https://twitter.com/mad_muslimah,twitter,https://instagram.com/the.mad.muslimah,instagram,,
000a252,Anne-Marie Alonzo,,آن ماري ألونزو,,,,"Anne-Marie Alonzo is a playwright, poet, novelist, scholar, literary critic and publisher born in Alexandria Egypt and moved to Montreal Quebec.Alonzo was the co-founder of Trois magazine and  has written various radio scripts for various media outlets. Alonzo received her Bachelors, Masters and Ph.D from the University of Montreal. <br><b>Awards</b><br>Grand Prix d'excellence artistique de Laval, 1992; Bronze Medal from the Société Arts-Sciences-Lettres de Paris, 1997 Govenor General's Award",Canada|Egypt,Playwright|Critic|Poet|Novelist|Translator|Scholar,French|English,,,,,,,,
000a253,Andrée Dahan,,أندري دهان,,,,"Andrée Dahan is a poet, playwright, critic and novelist born in Egypt and moved to Quebec where she currently resides. She is a member of several organizations, including the Union of Quebec writers. Dahan received her Master degree at the University of Montréal. <br><b>Awards</b><br>Le Signet D'Or Award,1994",Canada|Egypt,Playwright|Critic|Poet|Novelist,French|Arabic,,,,,,,,
000a254,Abla Farhoud,,عبلة فرهود,,,,"Abla Farhoud is a playwright and novelist born in Lebanon and moved to Canada with her family. She completed her studies in University of Vincennes and completed her Masters at the Université du Québec à Montréal. Farhoud writes in colloquial and standard French, Arabic, and English.<br><b>Awards</b><br>",Lebanon|Canada,Playwright|Novelist,French|Arabic|English,,facebook,https://twitter.com/AbFarhou,twitter,,instagram,,
000a255,Yolande Geadah,,يولاند جعادة,,,,"Yolande Geadah is a Canadian writer, reseacher and feminist based in Quebec of Egyptian origin. She is a member of the Institute for Research and Feminist Studies at UQAM. Her work focusses on intercultural relations and international development. <br><b>Awards</b><br>",Egypt|Canada,Non-Fiction Writer,French,,facebook,,,,,,
000a257,Mona Latif Ghattas,,منى لطيف غطاس,,,,"Mona Latif Ghattas is a novelist, scholar, short story writer and poet born in Cairo Egypt, and moved to Quebec in 1966, where she earned her master's degree from the University of Montréal. She has published work in both Arabic and French. Latif has been a lecturer at various school institutions. She has taught and implemented a french conversation program at Selwyn House school.
<br><b>Awards</b><br>",Egypt|Canada,Novelist|Poet|Short Story Writer|Scholar,French,https://www.youtube.com/channel/UCZY5Kmla_vhezUA1lszyyVw/featured,facebook,https://twitter.com/karawanil,twitter,https://instagram.com/latifghattas,instagram,https://www.youtube.com/channel/UCZY5Kmla_vhezUA1lszyyVw/featured,youtube
000a258,Nadine Ltaif,,نادين لطيف,,,,"Nadine Ltaif is a poet, editor and translator of Lebanese ancestry and immigrated to Montreal where She received her master's degree from the University of Montreal. Ltaif is the co-founder and co-editor of the online literature and art review magazine titled Mirta.
<br><b>Awards</b><br>",Lebanon|Canada,Translation|Poet|Editor,French,,facebook,,,https://instagram.com/nadineltaif,,,
000a259,Yamina Mouhoub,,يمينة موهوب,,,,"Yamina Mouhoub is a poet born in Algeria and immigrated to Canada. She earned her bachelor's degree from the University of Montréal in French Studies. Her poetry is featured in numerous literary journals and anthologies. Mouhoub is also involved in several literary associations based in Quebec such as Societe littéraire de Laval among others.
<br><b>Awards</b><br>",France|Canada|Algeria,Poet,French,,,,,,,,
000a260,Ruba Nadda,Rubba Nadda,ربا ندا,,,,"
Ruba Nadda is a Canadian screen writer, short-story writer and filmmaker born to a Palestinan mother and a Syrian Father in Montréal. She wrote and directed feature films and has had her short stories published in anthologies and literary journals. Her films have been shown in festivals around the world.
<br><b>Awards</b><br>Best Director Award, 2011; Best Canadian Feature Film, 2009; Youth Jury Award, 2005; Best Canadian Feature Film, 2014",Canada|Syria|Palestine,Screenwriter|Filmmaker|Short Story Writer,English,,,,,https://instagram.com/r_nadda1954,,,
000a261,Elizabeth Dahab,Elizabeth F. Dahab|Elizabeth Farida Dahab,اليزابيث دهاب,,,,"Elizabeth Dahab is an Arab Canadian children's writer, scholar and a scholar currently teaching in California, US. Dahab received her Bachelor's from McGill University in Montreal, her master's from the University of Alberta in Canada, and her doctorate from the Université de Paris IV-Sorbonne.
<br><b>Awards</b><br>",Canada|France,Children's Writer|Literary Critic|scholar,French|English,,,,,,,,
000a262,Salwa Mohareb Said,,سلوى محارب سعيد,سلوى محارب سيد,,,Salwa Mohareb Said is an Egyptian short story writer. She earned her Bachelor's and Master's in English from the American University in Cairo. Her work has been published in journals and anthologies.<br><b>Awards</b><br>,Egypt|Canada,Short Story Writer,English,,,,,,,,
000a263,Leila Marshy,,ليلى مرشي,,,,"Leila Marshy is a novelist, short story writer, editor, filmmaker and poet of Palestinian-Newfoundland heritage. Her work has been published in literary journals across North America. Marshy is the founder of a community called Friend of Hutchison Street.
<br><b>Awards</b><br>",Palestine|Canada,Novelist|Short Story Writer|Editor|Poet|Filmmaker,English,https://www.youtube.com/user/immeris/,facebook,https://twitter.com/haikuboxer,twitter,https://instagram.com/llp_mtl,instagram,https://www.youtube.com/user/immeris/,youtube
000a265,Yara el-Ghadban,,يارا الغضبان,,,,"Yara el-Ghadban is a journalist, novelist, translator and essayist born in Dubai to a Palestinian family. She migrated with her family to Montreal, Canada, after being exiled in 1989. Ghadban received both her master's and Ph.D. at the Universite de Montreal. She taught at Universite de Montreal and Ottawa University and has had her work published in English and French. <br><b>Awards</b><br>Victor-Martyn-Lynch-Staunton Prize from the Canada Council for the Arts, 2017;
Diversity Award at the Blue Metropolis Festival for I am Ariel Sharon, 2019",Palestine|Canada|Egypt,Novelist|Journalist|Essayist|Translator|,French|Arabic|English,,,,,,,,
000a267,Soheir Fouzat,,سهير فوزات,,,,"Soheir Fouzat is an award-winning Canadian poet and artist of Syrian descent. She graduated from the University of Damascus in 2006 with a degree in Arabic Literature. She immigrated to Canada in 2010 where she teaches Arabic as a Second Language and is the Director of the Canadian Center for Language Exchange CCEL.<br><b>Awards</b><br>Almazraa Prize for Literary and Cultural, 2006 ",Syria|Canada,Poet|Artist,French|Arabic,https://www.youtube.com/channel/UCzz_a3NTVuhDYPVR-8lvzUw,facebook,https://twitter.com/SoheirFouzat,twitter,https://instagram.com/soheirfouzat,instagram,https://www.youtube.com/channel/UCzz_a3NTVuhDYPVR-8lvzUw,youtube
000a268,Abeer Esber,,عبير اسبر,,,,"Abeer Esber is a Syrian novelist,critic, screen writer and filmmaker born in Damascus. Esber studied English language and literature at the University of Damascus. She attended the École Supérieure de Réalisation Audiovisuelle in Paris.Esber has written award-winning novels and for a television series titled Al Obour.
<br><b>Awards</b><br>",Syria|Canada,Screenwriter|Novelist|Critic|Filmmaker,French|Arabic,https://www.youtube.com/channel/UCjDHUDf3naHmFNzufSoP3aA,,https://twitter.com/abeer_esber,twitter,https://instagram.com/abeer_esber,instagram,https://www.youtube.com/channel/UCjDHUDf3naHmFNzufSoP3aA,youtube
000a269,Monia Mazigh,,منية مازيغ,,,,"Monia Mazigh is a novelist, journalist, scholar and activist was born and raised in Tunisia and immigrated to Canada. Mazigh received her Ph.D. from McGill University and has worked at the University of Ottawa and at Thompsons Rivers University. <br><b>Awards</b><br>",Tunisia|Canada,Novelist|Journalist|activist,Arabic|French|English,https://www.youtube.com/channel/UCxYnDLhiFHDkz8q8omJ5rAw/,facebook,https://twitter.com/MoniaMazigh,twitter,https://instagram.com/mazighmonia,instagram,https://www.youtube.com/channel/UCxYnDLhiFHDkz8q8omJ5rAw/,youtube
000a270,Naïma Oukerfellah,,نعيمة أوكرفيلا,,,,"Naima Oukerfellah is a Berbers Algerian author and children's writer. Growing up with stories and songs of Kabyles she began creating and sharing her own stories in her own way to her younger family members. She is currently located in Sudbury, Ontario.<br><b>Awards</b><br>",Algeria|Canada,Children's Writer,French,,,,,,,,
000a271,Fayrouz Fawzi,,فيروز فوزي,,,,"Fayrouz Fawzi is a poet, scholar, and novelist of Morocan origin with strong connections to her hometown Casablanca. Fawzi founded the Canadian-Morrocan Research institute for Studies and research on Immigration and Interculturality. She co-founded the Organization Collectif des Auteurs de la Diaspora Arabe et Berbère de Montréal (Collective of Authors of Arab and Berbère diaspora of Montreal). She is a professor of sociology of immigration and has worked as an immigrant case manager in Montreal. Fawzi is also the director of Canadian and African Studies and Support Centre.<br><b>Awards</b><br>",Morocco|Canada,Poet|Scholar|Novelist,French|Arabic,,,,,,,,
000a272,Intissar Louah,,إنتصار لواح,,,,Intissar Louah is a Moroccan-Canadian short story writer and poet who was born in Morocco in 1995 and currently lives in Alberta. She began writing as a young child and published her first novel at the age of fourteen.<br><b>Awards</b><br>,Morocco|Canada,,French,,,,,,,,
000a273,Leilah Nadir,,ليلى نادر,,,,"Leila Nadir is a Iraqi and English writer raised in England and Canada. She holds a BA in from McGill University and a MA in in English and History from the University of Edinburgh. She has worked in the publishing industry in London and Vancouver, writing articles and political commentaries, particularly on the U.S. invasion of Iraq. In 2007, she published a book which details her Iraqi family's experiences since the 2003 invasion of Iraq and has since been published in over five countries.<br><b>Awards</b><br>George Ryga Award for Social Awareness in Literature, 2008",Iraq|Canada|England,,English,,facebook,https://twitter.com/LeilahNadir,twitter,https://instagram.com/leilahnadir,instagram,,
000a274,Anisa Mehdi,,أنيسة مهدي,,,,"Anisa Mehdi is a Canadian filmmaker, journalist,director and a writer of Iraqi descent. She has worked for CBS, and executive produced for PBS. She was the director and producer of the documentary Inside Mecca. She earned her Master degree in journalism from Columbia University.<br><b>Awards</b><br>",Iraq|Canada|United States,Filmmaker|Journalist|director|,English,https://www.youtube.com/user/WhetstoneProductions/videos,facebook,https://twitter.com/anisa_mehdi,twitter,https://instagram.com/anisa.mehdi.5,instagram,https://www.youtube.com/user/WhetstoneProductions/videos,youtube
000a275,Samah Sabawi,,سماح السبعاوي,سماح سبعاوي,,,"Samah Sabawi is a Palestinian Canadian Australian playwright, activist, novelist and poet. She has written for several publications, including Al Jazeera, the Globe and Mail and the Sydney Herald. <br><b>Awards</b><br>Canadian-Arab Foundation Award, 2004; Palestinian-Canadian Ottawa Community Award, 2008; Palestinian-Australian Community Achievement Award for Tales of a City by the Sea, 2016; Australian-Muslim Achievements Award - Creative Artist of the Year, 2016; Drama Victoria Awards - Best Production, 2016; Drama Victoria Awards - Best Publication for VCE Drama, 2016; Palestine Book Awards - Creative Category, 2016; Biennial Patrick O'Neill Award - Best play anthology, 2017",Palestine|Canada,Playwright|Poet|Essayist|Novelist|Activist,,https://www.youtube.com/user/Talesofacitybythesea/,facebook,https://twitter.com/gazaheart,twitter,https://instagram.com/samah_sabawi,instagram,https://www.youtube.com/user/Talesofacitybythesea/,youtube
000a16,Malak Hifni Nasif,Bahithat al-Badiya,ملك حفني ناصف,باحثة البادية,,,"Malak Hifni Nassif was a journalist, essayist and activist born in Cairo Egypt. Nassif made significant contributions in the development of feminism and reform of social institutions in numerous Middle Eastern countries. She was active in literary and social groups which worked on themes related to Arab political cultural identity under British colonial government and nationalism. Nassif articulated one of the founding discourses of feminism emerging from Egypt.
<br><b>Awards</b><br>",Egypt,Journalist|Essayist|Activist,Arabic,,,,,,,,
000a17,Amina al-Sa`id,,أمينة السعيد‎,,,,"Amina al-Said was a journalist, short story writer, editor, and activist born in Asyut and raised in Cairo.Said was among the first women to enroll in Fuad I University, currently named Cairo University. She helped create the Pan-Arab Feminist Union and was the founder and editor for the pan-Arab Journal Hawa.Said was also active in the Egyptian Feminist Union and was the vice president of the board of the press syndicate.
<br><b>Awards</b><br>",Egypt,Journalist|Short Story Writer|Novelist|Activist,Arabic,,,,,,,,
000a18,Latifa al-Zayyat,Latifah al-Zayyat,لطيفة الزيات‎,,,,"Latifa al Zayyat was a short story writer, essayist, critic, novelist, activist, translator and journalist. She received both her Bachelors of Arts and her Ph.D from Cairo University. Zayyat took on numerous crucial roles such as a professor for literature and criticism, director of arts academy among others. She was also involved in various organizations such as the federal union of Palestinian writers and journalists.Much of her political activity led to her arrest on more than one occasion. Her novel the Open door was produced into a film and also inspired a collection of blog entries relevant to Arab women writing.
<br><b>Awards</b><br>",Egypt,Novelist|Journalist|Essayist|Short Story Writor|Editor|Translator|Activist,Arabic|English,,,,,,,,
000a79,Dunya Mikhail,,دنيا ميخائيل,,,,"Dunya Mikhail is a translator, poet and journalist who was born in Baghdad Iraq and is currently based in the United States. She earned her Bachelor of Arts at the University of Baghdad and her Master of Arts from Wayne University. Mikhail currently teaches Arabic at Oakland University in Michigan.
<br><b>Awards</b><br>Guggenheim Fellowship for Creative Arts, US & Canada, 2018",Iraq|United States,Poet|Writer|Journalist|Translator,English|Arabic,,facebook,https://twitter.com/dunyamikhail,twitter,https://instagram.com/dunyamikhail,instagram,,
000b01,Therese Saliba,,تريز صليبا,,,,"Therese Saliba is a Arab American editor, activist,writer and scholar currently teaching in the United States.Saliba received her Ph.D from the University of Washington, was a Fulbright scholar and is currently working as a professor at the Evergreen State College in Washington.Saliba was the co-director for the documentary titled Checkpoint.
<br><b>Awards</b><br>Del Sol Press Poetry Prize, 2008",United States|Palestine,Editor|Poet|Activist|Scholar,English,,,,,,,,
000b02,Trisha F. Harper,,تريشا هاربر,,,,Trisha F. Harper is a poet whose work has been performed in the Smithsonian and anthologized in various collections including Food for Our Grandmothers: Writing by Arab-American and Arab-Canadian Feminists and Women for All Seasons . <br><b>Awards</b><br>,United States,Poet,English,,,,,,,,
000b03,Adele Ne Jame,Adele Nejame,أديل نجام,,,,"Adele Ne Jame is a poet, novelist and scholar born in New Jersey to Lebanese American parents and is currently based in Hawaii. Ne Jame has been featured in several literary journals, anthologies and exhibitions around the world. Adele Ne jame is currently an instructor at the Hawaii Pacific University.
<br><b>Awards</b><br>",Lebanon|United States,Poet|Novelist|Scholar,English,,facebook,,,https://instagram.com/nejameadele,,,
000b04,Marti Farha Ammar,,مارتي فرحة عمار,,,,"Marti Farha Ammar is a Lebaneese American  scholar, activist, and writer residing in Beirut, Lebanon. Ammar received her degree from Mills College and has a scholarship in her name at Wichita University which was established by her family. Ammar has lectured all over the United States on the topic of Middle Eastern Politics and has been involved in various humanitarian organizations such as Save Lebanon, among others. <br><b>Awards</b><br>Recipient Women of Achievement Matrix award Women in Communications, 1993",Lebanon|United States,Scholar|Activist|writer,,,,,,https://instagram.com/martifarhaammar,,,
000b05,Chava Finkler,Lilith Finkler,ليليث فنكلر,ليليث فينكلر,,,"Chava Finkler is an activist, writer and scholar born in Toronto to a Polish father and Libyan mother both of whom are Hollocaust survivors. She received her Ph.D from Dalhousie University. Finkler has been heavily involved in various social justice movements. Finkler has written nearly fifty articles in academic journals, trade publications and the alternative press including Food for Our Grandmothers, among others.
<br><b>Awards</b><br>",Poland|Libya|United States,Scholar|Activist|writer,,,,,,,,,
000b06,Martha Ani Boudakian,,مارثا آني بوداكيان,,,,Martha Ani Boudakian is a Armenian American writer and activist featured in Food for Our Grandmothers: Writing by Arab-American and Arab Canadian Feminists. She has contributed to other publications regarding themes of Middle Eastern identity. <br><b>Awards</b><br>,Armenia|United States,Writer|Activist,,,,,,,,,
000b07,Lorene Zarou-Zouzounis,,لورين زارو زوزونس,,,,"Lorene Zarou-Zouzounis is a poet, short story writer and young adult writer born in Ramallah, Palestine and she and her family emegrated to Michigan at the age of five.Zarou-Zouzounis graduated from San Francisco State University. She has performed her poetry and numerous readings in San Francisco, New York and Los Angeles. Zarou- Zouzounis has been published widely in literary journals and anthologies and has taught and designed poetry workshops for children.
<br><b>Awards</b><br>",Palestine|United States,Poet|Short Story Writer|Young adult writer,,,facebook,,,,,,
000b08,Marjorie Gellhorn Sa'adah,,مارجوري جلهورن سعادة,,,,"Marjorie Gelhorn Sa’adah is an artist, writer and scholar born in Paris to a Syrian immigrant father. Sa’adah graduated from Hamilton College and received her Master’s degree from the Episcopal Divinity School. Many of her essays have been featured in various media outlets such as The Los Angeles Times, as well as numerous anthologies, journals and op-eds.<br><b>Awards</b><br>",United States|Syria,Artist|Writer|Scholar,,,,https://twitter.com/casa_adah,twitter,https://instagram.com/gmarjorie1370,instagram,,
000b09,Barbara Nimri Aziz,,باربرة نمري عزيز,باربرا نمري عزيز,,,"Barbara Nimri Aziz is a scholar, journalist and writer born in Ontario, Canada to two Arab immigrants and has taught and served in various locations such as Tibet and Algeria. She received her Bachelors of Arts from Queen University and was accepted to the Ph.D program at the School of Oriental and African Studies in London. Aziz is the co-founder and executive director of RAWI (Radius of Arab-American Writers).
<br><b>Awards</b><br>",Canada|United States,Journalist|scholar,English,,facebook,https://twitter.com/NimriAziz,twitter,https://instagram.com/nimri_aziz,instagram,,
000b10,Sara Yasin,,سارة ياسين,سارا ياسين,,,"Sara Yasin is a Palestinan American journalist who has written for and contributed to several media outlets like The Guardian, Index, NBC News, among many others. She currently works as Managing Editor for Buzzfeed News. Yasin completed her post-secondary studies at North Carolina University. Yasin has previously worked as a program assistant for the campaign Violence is not our Culture with Women Living Under Muslim Laws and has contributed as a blogger for Muslimah Media Watch.
<br><b>Awards</b><br>",United States|Palestine,Journalist,English,,facebook,https://twitter.com/sarayasin,twitter,,instagram,,
000b11,Kamelya Omayma Youssef,,كاميليا أميمة يوسف,,,,"Kamelya Omayma Youssef is a poet, writer and scholar currently based in New Jersey with roots in Lebanon. She received her Bachelor of Arts from the University of Michigan.Her poems have been published in numerous literary journals including Mizna and the Michigan Quarterly Review.
<br><b>Awards</b><br>Caroline Bush Award, 2021; Judith Siegel Pearson Award, 2017; Phillip Lawson Hatch Jr. Memorial Writing Competition in English Award, 2016-2017",United States|Lebanon,Poet|Scholar|Writer,English,,,,,https://instagram.com/kamelya.omayma,,,
000b12,Mary Salome,,ماري سالوم,,,,"Mary Salome is a queer writer, activist and producer of Syrian, Irish American and Buddhist descent. Her work has been featured in various literary journals and anthologies.<br><b>Awards</b><br>",Syria|Ireland|United States,Activist,,,,https://twitter.com/marysalome,twitter,,instagram,,
000b13,May Mansoor Munn,,مي منصور من,,,,"May Mansoor Moon was a essayist, short story writer and novelist born in Jerusalem to Palestinian parents. She received her Bachelor of Arts degree from Earlham College then returned to Palestine and taught at the friends girls school. In addition to her published works, Mansoor co-founded the Houston-Area Model United Nations.<br><b>Awards</b><br>",United States|Palestine,Short Story Writer|Essayist|Novelist,English|Arabic,,,,,,,,
000b14,Leila Diab,,ليلى دياب,,,,"Leila Diab is an Arab American scholar,editor and journalist. She is the co-editor of A Different Path: An Anthology of the Radius of Arab American Writers (2000). Her articles have been published widely and she has taught in a variety of classrooms across America.<br><b>Awards</b><br>",United States,Scholar|Editor|Journalist,English,,,,,,,,
000b15,Nada Elia,,ندا إيليا,,,,"Nada Elia is a writer, journalist, activist, scholar, editor and author who was born in Iraq to two Palestinian parents from Jerusalem and raised in Lebanon. She has worked as a professor of Gender and Global Studies and has taught at various university institutions such as Purdue University, Tufts University, among others.
<br><b>Awards</b><br>",United States|Palestine|Lebanon,Writer|Editor|Journalist|Activist|Scholar,English,,facebook,https://twitter.com/nadaelia48,twitter,,instagram,,
